toolId,folder,imagePath
AdhocCoprohibEdit,tools,Docs/migration/tools/images/adhoc-coprohib-edit-01.png
Analyses,tools,Docs/migration/tools/images/analyses-01.png
bulkEditEntriesOrSenses,tools,Docs/migration/tools/images/bulk-edit-entries-or-senses-01.png
categoryBrowse,tools,Docs/migration/tools/images/category-browse-01.png
complexConcordance,tools,Docs/migration/tools/images/complex-concordance-01.png
compoundRuleAdvancedEdit,tools,Docs/migration/tools/images/compound-rule-advanced-edit-01.png
concordance,tools,Docs/migration/tools/images/concordance-01.png
corpusStatistics,tools,Docs/migration/tools/images/corpus-statistics-01.png
EnvironmentEdit,tools,Docs/migration/tools/images/environment-edit-01.png
featuresAdvancedEdit,tools,Docs/migration/tools/images/features-advanced-edit-01.png
grammarSketch,tools,Docs/migration/tools/images/grammar-sketch-01.png
interlinearEdit,tools,Docs/migration/tools/images/interlinear-edit-01.png
lexiconBrowse,tools,Docs/migration/tools/images/lexicon-browse-01.png
lexiconClassifiedDictionary,tools,Docs/migration/tools/images/lexicon-classified-dictionary-01.png
lexiconDictionary,tools,Docs/migration/tools/images/lexicon-dictionary-01.png
lexiconEditPopup,tools,Docs/migration/tools/images/lexicon-edit-popup-01.png
lexiconEdit,tools,Docs/migration/tools/images/lexicon-edit-01.png
lexiconProblems,tools,Docs/migration/tools/images/lexicon-problems-01.png
naturalClassedit,tools,Docs/migration/tools/images/natural-classedit-01.png
notebookBrowse,tools,Docs/migration/tools/images/notebook-browse-01.png
notebookDocument,tools,Docs/migration/tools/images/notebook-document-01.png
notebookEdit,tools,Docs/migration/tools/images/notebook-edit-01.png
phonemeEdit,tools,Docs/migration/tools/images/phoneme-edit-01.png
phonologicalFeaturesAdvancedEdit,tools,Docs/migration/tools/images/phonological-features-advanced-edit-01.png
PhonologicalRuleEdit,tools,Docs/migration/tools/images/phonological-rule-edit-01.png
posEdit,tools,Docs/migration/tools/images/pos-edit-01.png
ProdRestrictEdit,tools,Docs/migration/tools/images/prod-restrict-edit-01.png
rapidDataEntry,tools,Docs/migration/tools/images/rapid-data-entry-01.png
reversalToolBulkEditReversalEntries,tools,Docs/migration/tools/images/reversal-tool-bulk-edit-reversal-entries-01.png
reversalToolEditComplete,tools,Docs/migration/tools/images/reversal-tool-edit-complete-01.png
spelling,tools,Docs/migration/tools/images/spelling-01.png
toolBulkEditPhonemes,tools,Docs/migration/tools/images/tool-bulk-edit-phonemes-01.png
toolBulkEditWordforms,tools,Docs/migration/tools/images/tool-bulk-edit-wordforms-01.png
wordListConcordance,tools,Docs/migration/tools/images/word-list-concordance-01.png
affixCategoryEdit,lists,Docs/migration/lists/images/affix-category-edit-01.png
annotationDefEdit,lists,Docs/migration/lists/images/annotation-def-edit-01.png
anthroEdit,lists,Docs/migration/lists/images/anthro-edit-01.png
chartmarkEdit,lists,Docs/migration/lists/images/chartmark-edit-01.png
charttempEdit,lists,Docs/migration/lists/images/charttemp-edit-01.png
complexEntryTypeEdit,lists,Docs/migration/lists/images/complex-entry-type-edit-01.png
confidenceEdit,lists,Docs/migration/lists/images/confidence-edit-01.png
dialectsListEdit,lists,Docs/migration/lists/images/dialects-list-edit-01.png
domainTypeEdit,lists,Docs/migration/lists/images/domain-type-edit-01.png
educationEdit,lists,Docs/migration/lists/images/education-edit-01.png
extNoteTypeEdit,lists,Docs/migration/lists/images/ext-note-type-edit-01.png
featureTypesAdvancedEdit,lists,Docs/migration/lists/images/feature-types-advanced-edit-01.png
genresEdit,lists,Docs/migration/lists/images/genres-edit-01.png
languagesListEdit,lists,Docs/migration/lists/images/languages-list-edit-01.png
lexRefEdit,lists,Docs/migration/lists/images/lex-ref-edit-01.png
locationsEdit,lists,Docs/migration/lists/images/locations-edit-01.png
morphTypeEdit,lists,Docs/migration/lists/images/morph-type-edit-01.png
peopleEdit,lists,Docs/migration/lists/images/people-edit-01.png
positionsEdit,lists,Docs/migration/lists/images/positions-edit-01.png
publicationsEdit,lists,Docs/migration/lists/images/publications-edit-01.png
recTypeEdit,lists,Docs/migration/lists/images/rec-type-edit-01.png
restrictionsEdit,lists,Docs/migration/lists/images/restrictions-edit-01.png
reversalToolReversalIndexPOS,lists,Docs/migration/lists/images/reversal-tool-reversal-index-pos-01.png
roleEdit,lists,Docs/migration/lists/images/role-edit-01.png
semanticDomainEdit,lists,Docs/migration/lists/images/semantic-domain-edit-01.png
senseStatusEdit,lists,Docs/migration/lists/images/sense-status-edit-01.png
senseTypeEdit,lists,Docs/migration/lists/images/sense-type-edit-01.png
statusEdit,lists,Docs/migration/lists/images/status-edit-01.png
textMarkupTagsEdit,lists,Docs/migration/lists/images/text-markup-tags-edit-01.png
timeOfDayEdit,lists,Docs/migration/lists/images/time-of-day-edit-01.png
translationTypeEdit,lists,Docs/migration/lists/images/translation-type-edit-01.png
usageTypeEdit,lists,Docs/migration/lists/images/usage-type-edit-01.png
variantEntryTypeEdit,lists,Docs/migration/lists/images/variant-entry-type-edit-01.png
