ProjectPath,ProjectName,PlatformTarget,OutputType,IsException,Action
Src\CacheLight\CacheLight.csproj,CacheLight,x64,Library,False,Remove
Src\FdoUi\FdoUi.csproj,FdoUi,x64,Library,False,Remove
Src\FwCoreDlgs\FwCoreDlgs.csproj,FwCoreDlgs,x64,Library,False,Remove
Src\FwParatextLexiconPlugin\FwParatextLexiconPlugin.csproj,FwParatextLexiconPlugin,x64,Library,False,Remove
Src\FwResources\FwResources.csproj,FwResources,x64,Library,False,Remove
Src\GenerateHCConfig\GenerateHCConfig.csproj,GenerateHCConfig,x64,Exe,False,Remove
Src\InstallValidator\InstallValidator.csproj,InstallValidator,x64,Exe,False,Remove
Src\LCMBrowser\LCMBrowser.csproj,LCMBrowser,x64,WinExe,False,Remove
Src\ManagedLgIcuCollator\ManagedLgIcuCollator.csproj,ManagedLgIcuCollator,x64,Library,False,Remove
Src\ManagedVwDrawRootBuffered\ManagedVwDrawRootBuffered.csproj,ManagedVwDrawRootBuffered,x64,Library,False,Remove
Src\ManagedVwWindow\ManagedVwWindow.csproj,ManagedVwWindow,x64,Library,False,Remove
Src\MigrateSqlDbs\MigrateSqlDbs.csproj,MigrateSqlDbs,x64,WinExe,False,Remove
Src\Paratext8Plugin\Paratext8Plugin.csproj,Paratext8Plugin,x64,Library,False,Remove
Src\ParatextImport\ParatextImport.csproj,ParatextImport,x64,Library,False,Remove
Src\ProjectUnpacker\ProjectUnpacker.csproj,ProjectUnpacker,x64,Library,False,Remove
Src\UnicodeCharEditor\UnicodeCharEditor.csproj,UnicodeCharEditor,x64,WinExe,False,Remove
Src\XCore\xCore.csproj,xCore,x64,Library,False,Remove
Src\xWorks\xWorks.csproj,xWorks,x64,Library,False,Remove
Src\xWorks\xWorksTests\xWorksTests.csproj,xWorksTests,x64,Library,False,Remove
Src\XCore\FlexUIAdapter\FlexUIAdapter.csproj,FlexUIAdapter,x64,Library,False,Remove
Src\XCore\SilSidePane\SilSidePane.csproj,SilSidePane,x64,Library,False,Remove
Src\XCore\xCoreInterfaces\xCoreInterfaces.csproj,xCoreInterfaces,x64,Library,False,Remove
Src\XCore\xCoreTests\xCoreTests.csproj,xCoreTests,x64,Library,False,Remove
Src\XCore\xCoreInterfaces\xCoreInterfacesTests\xCoreInterfacesTests.csproj,xCoreInterfacesTests,x64,Library,False,Remove
Src\XCore\SilSidePane\SilSidePaneTests\SilSidePaneTests.csproj,SilSidePaneTests,x64,Library,False,Remove
Src\views\lib\VwGraphicsReplayer\VwGraphicsReplayer.csproj,VwGraphicsReplayer,x64,Exe,False,Remove
Src\Utilities\ComManifestTestHost\ComManifestTestHost.csproj,ComManifestTestHost,x64,Exe,False,Remove
Src\Utilities\FixFwData\FixFwData.csproj,FixFwData,x64,WinExe,False,Remove
Src\Utilities\FixFwDataDll\FixFwDataDll.csproj,FixFwDataDll,x64,Library,False,Remove
Src\Utilities\MessageBoxExLib\MessageBoxExLib.csproj,MessageBoxExLib,x64,Library,False,Remove
Src\Utilities\Reporting\Reporting.csproj,Reporting,x64,Library,False,Remove
Src\Utilities\SfmStats\SfmStats.csproj,SfmStats,x64,Exe,False,Remove
Src\Utilities\SfmToXml\Sfm2Xml.csproj,Sfm2Xml,x64,Library,False,Remove
Src\Utilities\XMLUtils\XMLUtils.csproj,XMLUtils,x64,Library,False,Remove
Src\Utilities\XMLUtils\XMLUtilsTests\XMLUtilsTests.csproj,XMLUtilsTests,x64,Library,False,Remove
Src\Utilities\SfmToXml\ConvertSFM\ConvertSFM.csproj,ConvertSFM,x64,WinExe,False,Remove
Src\Utilities\SfmToXml\Sfm2XmlTests\Sfm2XmlTests.csproj,Sfm2XmlTests,x64,Library,False,Remove
Src\Utilities\MessageBoxExLib\MessageBoxExLibTests\MessageBoxExLibTests.csproj,MessageBoxExLibTests,x64,Library,False,Remove
Src\UnicodeCharEditor\UnicodeCharEditorTests\UnicodeCharEditorTests.csproj,UnicodeCharEditorTests,x64,Library,False,Remove
Src\ParatextImport\ParatextImportTests\ParatextImportTests.csproj,ParatextImportTests,x64,Library,False,Remove
Src\Paratext8Plugin\ParaText8PluginTests\Paratext8PluginTests.csproj,Paratext8PluginTests,x64,Library,False,Remove
Src\ManagedVwWindow\ManagedVwWindowTests\ManagedVwWindowTests.csproj,ManagedVwWindowTests,x64,Library,False,Remove
Src\ManagedLgIcuCollator\ManagedLgIcuCollatorTests\ManagedLgIcuCollatorTests.csproj,ManagedLgIcuCollatorTests,x64,Library,False,Remove
Src\LexText\Discourse\Discourse.csproj,Discourse,x64,Library,False,Remove
Src\LexText\FlexPathwayPlugin\FlexPathwayPlugin.csproj,FlexPathwayPlugin,x64,Library,False,Remove
Src\LexText\Interlinear\ITextDll.csproj,ITextDll,x64,Library,False,Remove
Src\LexText\Lexicon\LexEdDll.csproj,LexEdDll,x64,Library,False,Remove
Src\LexText\LexTextControls\LexTextControls.csproj,LexTextControls,x64,Library,False,Remove
Src\LexText\LexTextDll\LexTextDll.csproj,LexTextDll,x64,Library,False,Remove
Src\LexText\Morphology\MorphologyEditorDll.csproj,MorphologyEditorDll,x64,Library,False,Remove
Src\LexText\ParserCore\ParserCore.csproj,ParserCore,x64,Library,False,Remove
Src\LexText\ParserUI\ParserUI.csproj,ParserUI,x64,Library,False,Remove
Src\LexText\ParserUI\ParserUITests\ParserUITests.csproj,ParserUITests,x64,Library,False,Remove
Src\LexText\ParserCore\ParserCoreTests\ParserCoreTests.csproj,ParserCoreTests,x64,Library,False,Remove
Src\LexText\ParserCore\XAmpleManagedWrapper\XAmpleManagedWrapper.csproj,XAmpleManagedWrapper,x64,Library,False,Remove
Src\LexText\ParserCore\XAmpleManagedWrapper\XAmpleManagedWrapperTests\XAmpleManagedWrapperTests.csproj,XAmpleManagedWrapperTests,x64,Library,False,Remove
Src\LexText\Morphology\MGA\MGA.csproj,MGA,x64,Library,False,Remove
Src\LexText\Morphology\MorphologyEditorDllTests\MorphologyEditorDllTests.csproj,MorphologyEditorDllTests,x64,Library,False,Remove
Src\LexText\Morphology\MGA\MGATests\MGATests.csproj,MGATests,x64,Library,False,Remove
Src\LexText\LexTextDll\LexTextDllTests\LexTextDllTests.csproj,LexTextDllTests,x64,Library,False,Remove
Src\LexText\LexTextControls\LexTextControlsTests\LexTextControlsTests.csproj,LexTextControlsTests,x64,Library,False,Remove
Src\LexText\Lexicon\LexEdDllTests\LexEdDllTests.csproj,LexEdDllTests,x64,Library,False,Remove
Src\LexText\Interlinear\ITextDllTests\ITextDllTests.csproj,ITextDllTests,x64,Library,False,Remove
Src\LexText\FlexPathwayPlugin\FlexPathwayPluginTests\FlexPathwayPluginTests.csproj,FlexPathwayPluginTests,x64,Library,False,Remove
Src\LexText\Discourse\DiscourseTests\DiscourseTests.csproj,DiscourseTests,x64,Library,False,Remove
Src\InstallValidator\InstallValidatorTests\InstallValidatorTests.csproj,InstallValidatorTests,x64,Library,False,Remove
Src\FXT\FxtDll\FxtDll.csproj,FxtDll,x64,Library,False,Remove
Src\FXT\FxtExe\FxtExe.csproj,FxtExe,x64,Exe,False,Remove
Src\FXT\FxtDll\FxtDllTests\FxtDllTests.csproj,FxtDllTests,x64,Library,False,Remove
Src\FwParatextLexiconPlugin\FwParatextLexiconPluginTests\FwParatextLexiconPluginTests.csproj,FwParatextLexiconPluginTests,x64,Library,False,Remove
Src\FwCoreDlgs\FwCoreDlgControls\FwCoreDlgControls.csproj,FwCoreDlgControls,x64,Library,False,Remove
Src\FwCoreDlgs\FwCoreDlgsTests\FwCoreDlgsTests.csproj,FwCoreDlgsTests,x64,Library,False,Remove
Src\FwCoreDlgs\FwCoreDlgControls\FwCoreDlgControlsTests\FwCoreDlgControlsTests.csproj,FwCoreDlgControlsTests,x64,Library,False,Remove
Src\FdoUi\FdoUiTests\FdoUiTests.csproj,FdoUiTests,x64,Library,False,Remove
Src\Common\FieldWorks\FieldWorks.csproj,FieldWorks,x64,WinExe,False,Remove
Src\Common\Filters\Filters.csproj,Filters,x64,Library,False,Remove
Src\Common\Framework\Framework.csproj,Framework,x64,Library,False,Remove
Src\Common\FwUtils\FwUtils.csproj,FwUtils,x64,Library,False,Remove
Src\Common\RootSite\RootSite.csproj,RootSite,x64,Library,False,Remove
Src\Common\ScriptureUtils\ScriptureUtils.csproj,ScriptureUtils,x64,Library,False,Remove
Src\Common\SimpleRootSite\SimpleRootSite.csproj,SimpleRootSite,x64,Library,False,Remove
Src\Common\UIAdapterInterfaces\UIAdapterInterfaces.csproj,UIAdapterInterfaces,x64,Library,False,Remove
Src\Common\ViewsInterfaces\ViewsInterfaces.csproj,ViewsInterfaces,x64,Library,False,Remove
Src\Common\ViewsInterfaces\ViewsInterfacesTests\ViewsInterfacesTests.csproj,ViewsInterfacesTests,x64,Library,False,Remove
Src\Common\SimpleRootSite\SimpleRootSiteTests\SimpleRootSiteTests.csproj,SimpleRootSiteTests,x64,Library,False,Remove
Src\Common\ScriptureUtils\ScriptureUtilsTests\ScriptureUtilsTests.csproj,ScriptureUtilsTests,x64,Library,False,Remove
Src\Common\RootSite\RootSiteTests\RootSiteTests.csproj,RootSiteTests,x64,Library,False,Remove
Src\Common\FwUtils\FwUtilsTests\FwUtilsTests.csproj,FwUtilsTests,x64,Library,False,Remove
Src\Common\Framework\FrameworkTests\FrameworkTests.csproj,FrameworkTests,x64,Library,False,Remove
Src\Common\Filters\FiltersTests\FiltersTests.csproj,FiltersTests,x64,Library,False,Remove
Src\Common\FieldWorks\FieldWorksTests\FieldWorksTests.csproj,FieldWorksTests,x64,Library,False,Remove
Src\Common\Controls\Design\Design.csproj,Design,x64,Library,False,Remove
Src\Common\Controls\DetailControls\DetailControls.csproj,DetailControls,x64,Library,False,Remove
Src\Common\Controls\FwControls\FwControls.csproj,FwControls,x64,Library,False,Remove
Src\Common\Controls\Widgets\Widgets.csproj,Widgets,x64,Library,False,Remove
Src\Common\Controls\XMLViews\XMLViews.csproj,XMLViews,x64,Library,False,Remove
Src\Common\Controls\XMLViews\XMLViewsTests\XMLViewsTests.csproj,XMLViewsTests,x64,Library,False,Remove
Src\Common\Controls\Widgets\WidgetsTests\WidgetsTests.csproj,WidgetsTests,x64,Library,False,Remove
Src\Common\Controls\FwControls\FwControlsTests\FwControlsTests.csproj,FwControlsTests,x64,Library,False,Remove
Src\Common\Controls\DetailControls\DetailControlsTests\DetailControlsTests.csproj,DetailControlsTests,x64,Library,False,Remove
Src\CacheLight\CacheLightTests\CacheLightTests.csproj,CacheLightTests,x64,Library,False,Remove
Lib\src\FormLanguageSwitch\FormLanguageSwitch.csproj,FormLanguageSwitch,x64,Library,False,Remove
Lib\src\ObjectBrowser\ObjectBrowser.csproj,ObjectBrowser,x64,Library,False,Remove
Lib\src\ScrChecks\ScrChecks.csproj,ScrChecks,x64,Library,False,Remove
Lib\src\ScrChecks\ScrChecksTests\ScrChecksTests.csproj,ScrChecksTests,x64,Library,False,Remove
Lib\src\Converter\ConvertConsole\ConverterConsole.csproj,ConverterConsole,x64,Exe,False,Remove
Lib\src\Converter\Converter\Converter.csproj,Converter,x64,WinExe,False,Remove
Lib\src\Converter\Convertlib\ConvertLib.csproj,ConvertLib,x64,Library,False,Remove
Build\Src\FwBuildTasks\FwBuildTasks.csproj,FwBuildTasks,AnyCPU,Library,True,Keep
Build\Src\NUnitReport\NUnitReport.csproj,NUnitReport,x64,Exe,False,Remove
